Car Make,Location,Chassis No,Version/Class,Model Code,Milleage,Engine Size (CC),Engine Code,Drive,Steering,Transmission,External Color,Registration Year/Month,Fuel,Manufacture Year/Month,Price($)
 MITSUBISHI ASX,UNITED KINGDOM,JMF1111,MANUAL PETROL,0,"30,000 mile","1,600cc",-,4wheel drive,Right,Manual,Red,2015/3,Petrol,-,11300
 MITSUBISHI ASX,UNITED KINGDOM,JMF1157,MANUAL DIESEL,0,"5,000 mile","1,600cc",-,4wheel drive,Right,Manual,Red,2018/11,Diesel,-,21300
 MITSUBISHI ASX,UNITED KINGDOM,JMF1112,MANUAL PETROL,0,"65,800 mile","1,600cc",-,4wheel drive,Right,Manual,Silver,2015/3,Petrol,-,11000
 MITSUBISHI ASX,UNITED KINGDOM,JMF1113,MANUAL PETROL,0,"20,942 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2015/6,Petrol,-,12400
 MITSUBISHI ASX,UNITED KINGDOM,JMF1115,MANUAL PETROL,0,"19,299 mile","1,600cc",-,4wheel drive,Right,Manual,Brown,2016/3,Petrol,-,12900
 MITSUBISHI ASX,UNITED KINGDOM,JMF1160,MANUAL DIESEL,0,"6,750 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2018/3,Diesel,-,21600
 MITSUBISHI ASX,UNITED KINGDOM,JMF1162,AUTOMATIC DIESEL,0,"58,411 mile","2,200cc",-,4wheel drive,Right,Automatic,Gray,2015/3,Diesel,-,14200
 MITSUBISHI ASX,UNITED KINGDOM,JMF1117,MANUAL PETROL,0,"14,816 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2016/5,Petrol,-,12900
 MITSUBISHI ASX,UNITED KINGDOM,JMF1118,MANUAL PETROL,0,"19,429 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2016/8,Petrol,-,13700
 MITSUBISHI ASX,UNITED KINGDOM,JMF1164,AUTOMATIC DIESEL,0,"14,700 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2015/3,Diesel,-,16600
 MITSUBISHI ASX,UNITED KINGDOM,JMF1165,AUTOMATIC DIESEL,0,"32,000 mile","2,200cc",-,4wheel drive,Right,Automatic,Gray,2015/3,Diesel,-,17200
